YEAR,ALL_PAGES,SOURCE_MEDIUM,PAGEVIEWS,UNIQUE_PAGEVIEWS,AVG_TIME_ON_PAGE,ENTRANCES,BOUNCE_RATE,PERCENT_EXIT,OBJECTID
2017,/dmv.dc.gov/node/1118866,google / organic,98486,70503,0:05:28,3650,0.4167,0.4377,370
2017,/dchr.dc.gov/external-link/careers-dc,google / organic,98230,67557,0:03:28,2241,0.7354,0.3979,371
2017,/dcps.dc.gov/node/1212186,google / organic,97398,80492,0:02:08,3906,0.629,0.5333,372
2017,/doh.dc.gov/,google / organic,97206,74601,0:01:09,51612,0.313,0.3249,373
2017,/doh.dc.gov/node/146112,google / organic,95797,86063,0:03:34,71591,0.8238,0.6596,374
2017,/ddot.dc.gov/,google / organic,95733,69414,0:01:09,49243,0.3407,0.0963,375
2017,/dmv.dc.gov/service/contest-parking-and-photo-enforcement-tickets,google / organic,94644,57440,0:01:23,16265,0.3779,0.1436,376
2017,/dmv.dc.gov/service/ticket-services,(direct) / (none),94068,67813,0:00:27,5635,0.3488,0.6841,377
2017,/otr.cfo.dc.gov/,(direct) / (none),93940,76010,0:01:22,63971,0.236,0.0511,378
2017,/doh.dc.gov/service/birth-certificates,google / organic,93427,73000,0:04:36,62434,0.5467,0.1948,379
2017,/dcra.dc.gov/service/corporate-registration,google / organic,93299,61154,0:01:00,28176,0.225,0.1344,380
2017,/dmv.dc.gov/node/1115502,google / organic,90226,75049,0:03:10,7940,0.6936,0.0699,381
2017,/crimemap.dc.gov/,google / organic,90162,69222,0:00:21,58144,0.1402,0.5806,382
2017,/dchr.dc.gov/page/employment-opportunities-new,google / organic,89521,80364,0:01:00,32274,0.1824,0.6215,383
2017,/dmv.dc.gov/service/pay-tickets,search.usa.gov / referral,87344,60705,0:02:47,33426,0.1266,0.2863,384
2017,/dcra.dc.gov/page/dcra-online-services,google / organic,87280,58144,0:02:11,22733,0.2368,0.2289,385
2017,/dmv.dc.gov/service/ticket-services,google / organic,86768,64804,0:00:37,19083,0.1224,0.2857,386
2017,/doc.dc.gov/service/online-scheduling-video-visitationscheduling-face-face-visitation,google / organic,86320,72680,0:06:51,64099,0.2894,0.509,387
2017,/sexoffender.dc.gov/,google / organic,85871,73833,0:04:20,69414,0.8616,0.1384,388
2017,/dmv.dc.gov/node/1117687,google / organic,83374,59105,0:02:29,3842,0.2257,0.2138,389
2017,/dcps.dc.gov/node/988142,google / organic,83310,68262,0:03:11,1921,0.8667,0.2105,390
2017,/opendata.dc.gov/,google / organic,83054,37973,0:00:30,23245,0.112,0.3245,391
2017,/mpdc.dc.gov/marijuana,google / organic,82157,77611,0:09:16,77034,0.7338,0.3404,392
2017,/dc.gov/,1.1.1.1 / referral,82029,80748,0:07:48,80748,0.9572,0.7234,393
2017,/ddot.dc.gov/page/parking-meters,google / organic,81517,71784,0:03:39,63267,0.627,0.2368,394
2017,/dc.gov/start,search.usa.gov / referral,80492,61218,0:07:09,52957,0.1906,0.3262,395
2017,/app.ocp.dc.gov/RUI/information/nigplist.asp,google / organic,80236,19595,0:01:01,17610,0.28,0.6416,396
2017,/osse.dc.gov/,google / organic,79532,58464,0:01:14,42135,0.3288,0.357,397
2017,/dcps.dc.gov/page/dcps-human-resources,google / organic,79212,62819,0:00:49,18826,0.1911,0.3523,398
2017,/dcra.dc.gov/,search.usa.gov / referral,78956,47322,0:01:20,27279,0.283,0.4535,399
2016,/dmv.dc.gov/node/1119647,google / organic,118803,78072,0:02:38,5819,0.4322,0.4928,443
2016,/dc.gov/directory,google / organic,116543,89766,0:00:41,14405,0.2334,0.2901,444
2016,/dmv.dc.gov/service/contest-tickets,google / organic,116543,87167,0:02:31,29432,0.1252,0.1878,445
2016,/inst.webinstantservice.com/,rank-checker.online / referral,114170,26947,0:03:28,26947,0.5451,0.8762,446
2016,/serff.disb.dc.gov/default.aspx,(direct) / (none),112532,1864,0:00:18,1638,0.1722,0.0294,447
2016,/does.dc.gov/,google / organic,111572,89596,0:00:56,71180,0.2341,0.3664,448
2016,/app.ocp.dc.gov/RUI/information/nigplist.asp,(direct) / (none),109821,18642,0:01:20,18077,0.1156,0.0891,449
2016,/dmv.dc.gov/node/155482,google / organic,106883,68355,0:00:27,2429,0.3333,0.1399,450
2016,/does.dc.gov/service/2016-mayor-marion-s-barry-summer-youth-employment-program,(direct) / (none),105301,87676,0:03:15,82817,0.2233,0.5698,451
2016,/dmv.dc.gov/node/1119626,(direct) / (none),101686,92590,0:04:22,9943,0.6276,0.4487,452
2016,/opendata.dc.gov/,google / organic,101234,29376,0:00:06,15196,0.0072,0.1004,453
2016,/dmv.dc.gov/node/823652,google / organic,98522,11185,0:01:26,1582,0.3211,0.4086,454
2016,/dmv.dc.gov/node/1115502,google / organic,97675,82761,0:03:23,9265,0.7169,0.1794,455
2016,/dmv.dc.gov/node/301372,google / organic,97053,8078,0:01:08,565,0.4991,0.6643,456
2016,/dc.gov/online-services,(direct) / (none),94455,74739,0:00:56,9943,0.467,0.1807,457
2016,/dmv.dc.gov/service/pay-tickets,bing / organic,93890,62198,0:02:44,22653,0.0608,0.6374,458
2016,/crimemap.dc.gov/,google / organic,93325,69824,0:00:24,57848,0.1498,0.487,459
2016,/dchr.dc.gov/page/careers,(direct) / (none),92929,71123,0:00:26,35646,0.1526,0.6202,460
2016,/dmv.dc.gov/services,(direct) / (none),91235,71349,0:00:47,8643,0.3595,0.7151,461
2016,/rui.dc.gov/rui/footer.php,google / organic,91009,39488,0:03:29,1469,0.2401,0.3305,462
2016,/doh.dc.gov/,google / organic,90839,70954,0:00:53,51295,0.2903,0.0425,463
2016,/dchr.dc.gov/node/369282,google / organic,89540,80049,0:00:39,6271,0.6428,0.1674,464
2016,/dmv.dc.gov/service/contest-parking-and-photo-enforcement-tickets,google / organic,88806,52312,0:01:23,16383,0.315,0.1449,465
2016,/mpdc.dc.gov/marijuana,google / organic,87958,83156,0:09:11,82761,0.7361,0.32,466
2016,/dcatlas.dcgis.dc.gov/mar/location_detail.aspx,google / organic,87167,38132,0:02:29,282,0.8014,0.3599,467
2016,/dbh.dc.gov/,google / organic,86941,56153,0:04:34,50278,0.4781,0.1094,468
2016,/dmv.dc.gov/node/1118866,google / organic,85698,64514,0:05:40,2655,0.36,0.5854,469
2016,/dmv.dc.gov/service/vehicle-inspections,google / organic,84625,65587,0:02:26,40053,0.2608,0.2545,470
2016,/dmv.dc.gov/service/pay-tickets,search.usa.gov / referral,83043,59938,0:02:40,26947,0.1278,0.273,471
2016,/dcra.dc.gov/page/dcra-online-services,google / organic,82761,61463,0:01:52,27342,0.2629,0.016,472
2016,/dcps.dc.gov/node/1147171,google / organic,82139,74400,0:02:05,4802,0.6396,0.139,473
2016,/dmv.dc.gov/service/contest-parking-and-photo-enforcement-tickets,(direct) / (none),80953,43273,0:01:37,5084,0.4566,0.4465,474
2016,/dcps.dc.gov/service/search-and-apply-dcps-jobs,google / organic,80275,56097,0:00:35,16326,0.2249,0.2575,475
2016,/dmv.dc.gov/node/1118467,google / organic,80106,71349,0:10:33,21523,0.4904,0.1246,476
2016,/dmv.dc.gov/service/ticket-services,google / organic,78467,59656,0:00:29,8022,0.1205,0.259,477
2016,/dchr.dc.gov/,(direct) / (none),78016,64627,0:00:48,56436,0.193,0.0082,478
2016,/dmv.dc.gov/node/1119101,google / organic,77733,55080,0:01:11,1977,0.5947,0.0799,479
2016,/dcatlas.dcgis.dc.gov/mar/,google / organic,77620,41465,0:00:23,16383,0.1544,0.396,480
2016,/dchr.dc.gov/public-employee-salary-information,google / organic,75304,54967,0:05:03,42256,0.184,0.2629,481
2016,/dmv.dc.gov/node/1119626,google / organic,74626,66039,0:04:06,4519,0.6667,0.5853,482
2016,/dcps.dc.gov/page/dcps-human-resources,google / organic,73609,56097,0:01:01,24179,0.2827,0.0686,483
2016,/dmv.dc.gov/node/1117687,google / organic,73044,51069,0:02:08,1921,0.1111,0.382,484
2016,/mayor.dc.gov/,google / organic,72762,57000,0:01:11,25478,0.2683,0.2046,485
2016,/cssd.dc.gov/,google / organic,71801,56718,0:02:12,51238,0.1235,0.1282,486
2016,/idmsprdweb.dc.gov/manage/index.jsf,octo.dc.gov / referral,71406,32709,0:00:38,29376,0.1212,0.1022,487
2016,/dmv.dc.gov/service/knowledge-test,google / organic,71067,57509,0:00:49,34517,0.2904,0.7937,488
2016,/dcra.dc.gov/service/corporate-registration,google / organic,70841,49318,0:01:02,21919,0.2274,0.2566,489
2016,/osse.dc.gov/,google / organic,70672,53950,0:01:27,41409,0.382,0.1632,490
2016,/ddot.dc.gov/,google / organic,69711,53950,0:01:17,39431,0.3768,0.188,491
2016,/ddot.dc.gov/page/parking-meters,google / organic,69655,62424,0:03:00,56436,0.696,0.0849,492
2016,/dcra.dc.gov/page/business-licensing-corporate-registration,google / organic,69429,51351,0:01:13,29376,0.1865,0.0823,493
2016,/otr.cfo.dc.gov/service/recorder-deeds-document-images,google / organic,68581,31014,0:03:12,15705,0.09,0.1749,494
2016,/dchr.dc.gov/node/1142587,(direct) / (none),67621,52312,0:03:33,1751,0.5808,0.3915,495
2016,/oag.dc.gov/,google / organic,67564,48809,0:02:31,41409,0.3796,0.3317,496
2016,/doh.dc.gov/service/board-nursing,google / organic,66548,52199,0:01:50,49487,0.2077,0.4793,497
2016,/dpr.dc.gov/,(direct) / (none),66152,48527,0:02:22,45759,0.4414,0.0467,498
2016,/dhs.dc.gov/,google / organic,65135,48922,0:00:56,37906,0.3433,0.4262,499
2015,/dc.gov/404.html?page=/DCPS/&from=,google / organic,101621,66780,0:11:27,65618,0.6605,0.6463,557
2015,/dpr.dc.gov/,(direct) / (none),101252,67360,0:04:31,62609,0.5059,0.2404,558
2015,/dc.gov/404.html?page=/DCPS/&from=,(direct) / (none),98823,62556,0:08:40,62345,0.6574,0.6806,559
2015,/dmv.dc.gov/service/renew-learner-permit,google / organic,98771,82089,0:02:09,78130,0.7495,0.4485,560
2015,/ddot.dc.gov/,google / organic,98084,74909,0:01:00,54585,0.3501,0.4109,561
2015,/dmv.dc.gov/node/484052,google / organic,98031,12934,0:01:05,1425,0.4077,0.4827,562
2015,/dchr.dc.gov/page/employment-opportunities-new,(direct) / (none),97768,76915,0:00:37,13514,0.3399,0.1595,563
2015,/dmv.dc.gov/service/convert-out-state-license,google / organic,97609,48250,0:00:46,22647,0.2914,0.2156,564
2015,/osse.dc.gov/,google / organic,97345,76018,0:01:19,55641,0.3232,0.1106,565
2015,/dhcd.dc.gov/,google / organic,96817,58914,0:03:40,48514,0.3652,0.1021,566
2015,/eforms.dctc.dc.gov/LicenseDashboard.aspx,(direct) / (none),96501,23967,0:01:38,422,0.1256,0.4578,567
2015,/dmv.dc.gov/service/pay-tickets,google / organic,93967,71795,0:03:18,35950,0.1067,0.03,568
2015,/dmv.dc.gov/service/knowledge-tests,google / organic,93333,69736,0:00:58,36425,0.3652,0.5199,569
2015,/mayor.dc.gov/,google / organic,93016,66357,0:01:19,32360,0.2732,0.6755,570
2015,/eforms.dctc.dc.gov/DriverDashboard.aspx,(direct) / (none),92330,9766,0:00:38,0,0,0.3111,571
2015,/dchr.dc.gov/node/369282,(direct) / (none),91538,79291,0:00:33,7707,0.6217,0.1407,572
2015,/disb.dc.gov/,google / organic,91274,66146,0:03:55,59072,0.4946,0.4263,573
2015,/profiles.dcps.dc.gov/,google / organic,91222,52737,0:02:57,19110,0.3316,0.457,574
